Organismo,Species,Genome size,Bytes,Source,Year
Proteobacteria,Escherichia Coli,4.7 Mbp,1175000,https://metode.org/issues/monographs/the-size-of-the-genome-and-the-complexity-of-living-beings.html,
Bacteria micoplasma,Mycoplasma genitalium,0.58 Mbp,145000,https://metode.org/issues/monographs/the-size-of-the-genome-and-the-complexity-of-living-beings.html,
Mosca de la fruta,Drosophila melanogaster,180 Mbp,45000000,https://metode.org/issues/monographs/the-size-of-the-genome-and-the-complexity-of-living-beings.html,
Ser humano,Homo sapiens,3400 Mbp,850000000,https://metode.org/issues/monographs/the-size-of-the-genome-and-the-complexity-of-living-beings.html,
Arquea,Archaeoglobus,2.18 Mbp,545000,https://metode.org/issues/monographs/the-size-of-the-genome-and-the-complexity-of-living-beings.html,
Nemátodo,Caenorhabditis elegans,97 Mbp,24250000,https://metode.org/issues/monographs/the-size-of-the-genome-and-the-complexity-of-living-beings.html,
Arroz,Oryza sativa,450 Mbp,112500000,https://metode.org/issues/monographs/the-size-of-the-genome-and-the-complexity-of-living-beings.html,
Levadura de panadero,Saccharomyces cerevisiae,12 Mbp,3000000,https://metode.org/issues/monographs/the-size-of-the-genome-and-the-complexity-of-living-beings.html,
Gripe,Influenza A,14 kbp,3500,http://book.bionumbers.org/how-big-are-genomes/,
Bacteriófago,Lambda phage,49 kbp,12250,http://book.bionumbers.org/how-big-are-genomes/,
Avestruz,Struthio camelus,1.3 Gbp,325000000,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4390078/,
Cebolla,Allium cepa,18 Gbp,4500000000,https://metode.org/issues/monographs/the-size-of-the-genome-and-the-complexity-of-living-beings.html,
